Unnamed: 0,ds,alg,task,test_accuracy,test_balanced_accuracy,test_f1,test_precision,test_recall,diff_test_accuracy,diff_test_balanced_accuracy,diff_test_f1,diff_test_precision,diff_test_recall
0.0,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,KNN,feat,-0.048125,-0.048125,-0.031637288431936,-0.0517392623474983,-0.0099999999999998,,,,,
1.0,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,KNN,feat,-0.0274999999999998,-0.0274999999999998,-0.0008936334356254,-0.0284922580679173,0.0287499999999999,,,,,
2.0,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,KNN,feat,-0.05,-0.05,-0.055191656012579,-0.051612604772688,-0.0575000000000001,,,,,
3.0,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,KNN,feat,-0.025,-0.025,-0.0042405461866333,-0.0278135345231852,0.0174999999999999,,,,,
4.0,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,KNN,feat,-0.029375,-0.029375,-0.01345296009,-0.0277228388171986,-0.0024999999999999,,,,,
5.0,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,KNN,feat,-0.063125,-0.063125,-0.0615507570789981,-0.0661922050151416,-0.0562499999999999,,,,,
6.0,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,SVC,feat,-0.1374999999999999,-0.1374999999999999,-0.1343435630449921,-0.140193209026097,-0.1287500000000001,,,,,
7.0,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,SVC,feat,-0.1512500000000001,-0.1512500000000001,-0.1488122408738285,-0.1507422526336413,-0.14625,,,,,
8.0,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,SVC,feat,-0.14375,-0.1437500000000002,-0.1580733261272561,-0.1446716677635893,-0.1712500000000001,,,,,
9.0,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,SVC,feat,-0.1574999999999999,-0.1574999999999999,-0.15874871886782,-0.1591012394421476,-0.1587500000000001,,,,,
10.0,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,SVC,feat,-0.136875,-0.136875,-0.1498677560905751,-0.1369296455394854,-0.1625000000000001,,,,,
11.0,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,SVC,feat,-0.1418749999999999,-0.1418749999999999,-0.129977975118587,-0.1458292510571932,-0.11625,,,,,
12.0,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,NB,feat,-0.1400000000000001,-0.1400000000000001,-0.1654965555859004,-0.1533033750517041,-0.1750000000000001,,,,,
13.0,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,NB,feat,-0.123125,-0.123125,-0.1256277682471062,-0.132227089006231,-0.1137499999999999,,,,,
14.0,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,NB,feat,-0.125625,-0.125625,-0.1367417073980013,-0.1367216270940716,-0.1375,,,,,
15.0,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,NB,feat,-0.113125,-0.113125,-0.1049052336683209,-0.1235314985125913,-0.08625,,,,,
16.0,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,NB,feat,-0.0981249999999999,-0.0981249999999999,-0.0970861296644398,-0.1099846137454305,-0.08375,,,,,
17.0,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,NB,feat,-0.1381249999999999,-0.1381249999999999,-0.1285786707688019,-0.1520963779514484,-0.1062499999999999,,,,,
18.0,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,DT,feat,-0.0293749999999999,-0.0293749999999999,-0.0378787947320218,-0.028464553304517,-0.04625,,,,,
19.0,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,DT,feat,-0.00125,-0.00125,0.0154385628371898,-0.000663774533853,0.0312500000000001,,,,,
20.0,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,DT,feat,0.0168749999999999,0.0168749999999999,0.0011328017262579,0.0173350429586771,-0.01625,,,,,
21.0,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,DT,feat,0.020625,0.020625,0.0214055455940179,0.0207887006724257,0.0224999999999999,,,,,
22.0,GAMETES_Epistasis_2_Way_1000atts_0.4H_EDM_1_EDM_1_1,DT,feat,-0.0100000000000001,-0.0100000000000001,0.0005315841953837,-0.009669664362417,0.0112499999999999,,,,,
